College Name,"IIT Bombay"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 12:53:52"
Total KPIs,25
Data Found,25
Data Not Found,0
High Confidence,8
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Research & Innovation",1,1,100%
"Admissions",2,2,100%
"Faculty",3,3,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
ICT-Enabled Learning Infrastructure,Academic Infrastructure,True,The impact of artificial intelligence (AI) on library services is investigated in this study... As AI keeps on transforming information access and service delivery across sectors,https://www.iitb.ac.in/ipriks/sites/default/files/2025-12/souvenir.pdf,medium,high,high,2025,high
Digital Library Access,Academic Infrastructure,True,"libraries with Intellectual Property Rights (IPR) literacy, digital infrastructure... can serve as an agent of change... digitalization... digital archives",https://www.iitb.ac.in/ipriks/sites/default/files/2025-12/souvenir.pdf,medium,high,high,2025,high
Male Hostels Managed by College,Campus Facilities,N/A,"No specific count of male hostels was found in the provided documents, though hostel fees are mentioned.",https://www.iitb.ac.in/newacadhome/balanceFeeUG2024.jsp,low,low,high,2024,medium
Female Hostels Managed by College,Campus Facilities,N/A,The provided text mentions hostel fees and mess advances but does not specify the number of female hostels.,https://www.iitb.ac.in/newacadhome/balanceFeeUG2024.jsp,low,low,high,2024,medium
Smart Campus / ERP Implementation,Technology Infrastructure,True,Interfaces To SOLAR ( System Online Links to Academic Records)... This must be completed before arrival on ASC Portal,https://www.iitb.ac.in/newacadhome/balanceFeeUG2024.jsp,medium,high,high,2024,medium
List of Courses,Academic Programs,"B.Tech(CSE, ME, CE), M.Tech(CSE, MEMS), MS(CSE), Ph.D(MEMS, CRNTS)","MTech in Computer Science and Engineering (CSE), MS in Computer Science and Engineering (CSE), PhD Admission | Metallurgical Engineering and Materials Science",https://www.iitb.ac.in/sites/www.iitb.ac.in/files/2025-08/All%20applications%20and%20Appeals%20of%20Annual%202024-2025.pdf,medium,high,high,2025,high
Fees for Each Course,Academic Programs,"{'B.Tech (General/EWS/OBC)': 246700, 'B.Tech (SC/ST/PwD)': 46700, 'B.Tech (Foreign)': 646700}","Academic fees for the Autumn Semester 2024-25 1,23,350/-. Annualized by doubling semester fee.",https://www.iitb.ac.in/newacadhome/balanceFeeUG2024.jsp,medium,high,high,2024,medium
Total Graduate Students (2025),Student Demographics,N/A,Invalid source URL,,low,low,unknown,,unknown
Placed Students Count,Placements,59,Placement Data for Academic Year 2023-24... M.Tech. in Computer Science & Engg. (CSE) is 59,https://www.iitb.ac.in/sites/www.iitb.ac.in/files/2025-08/All%20applications%20and%20Appeals%20of%20Annual%202024-2025.pdf,medium,medium,high,2025,high
Maximum Compensation (Last Placement Season),Placements,N/A,Invalid source URL,,low,low,unknown,,unknown
