College Name,"IIT Hyderabad"

=== AUDIT OVERVIEW ===
Audit Date,"2026-02-11 12:41:34"
Total KPIs,25
Data Found,25
Data Not Found,0
High Confidence,22
Coverage Percentage,100.0%

=== CATEGORY BREAKDOWN ===
Category,Found,Total,Percentage
"Academic Infrastructure",2,2,100%
"Campus Facilities",3,3,100%
"Technology Infrastructure",1,1,100%
"Academic Programs",2,2,100%
"Student Demographics",4,4,100%
"Placements",3,3,100%
"Student Outcomes",1,1,100%
"Research & Innovation",1,1,100%
"Admissions",2,2,100%
"Faculty",3,3,100%
"Student Life",1,1,100%
"Accreditations & Rankings",2,2,100%

=== KPI DETAILS ===
KPI Name,Category,Value,Evidence,Source URL,System Confidence,LLM Confidence,Source Priority,Data Year,Recency
ICT-Enabled Learning Infrastructure,Academic Infrastructure,True,Our Open to All Teaching (OAT) initiative and newly launched recording studio strengthen our commitment to digital and inclusive education.,https://www.iith.ac.in/,medium,high,high,,unknown
Digital Library Access,Academic Infrastructure,True,Symposium on Accessible & Inclusive Digital Library (AIDL-2026)... Inside the Digital Heritage Lab at IIT Hyderabad... preserving India’s cultural heritage through innovative technology.,https://www.iith.ac.in/,medium,high,high,2026,unknown
Male Hostels Managed by College,Campus Facilities,14,"Warden (Hostel Aryabhatta, Bhaskara, Bhabha, Brahmagupta, Charaka, Kalam, Kapila-Boys, Kautilya, Raman, Ramanuja, Ramanujan, SN Bose, Varahamihira, Visweswaraya, Vivekananda, Vyasa)",https://iith.ac.in/about/directory/,medium,high,high,,unknown
Female Hostels Managed by College,Campus Facilities,5,"Warden (Hostel Gargi, Kapila - Girls, Maitreyi, Sarabhai, Sarojini Naidu)",https://iith.ac.in/about/directory/,low,high,high,,unknown
Smart Campus / ERP Implementation,Technology Infrastructure,True,"ERP - Shishir Kumar... IITH EPay Portal... TiHAN at IITH has developed an autonomous campus shuttle, a driverless electric vehicle designed to operate within campus roads.",https://iith.ac.in/about/directory/,medium,high,high,,unknown
List of Courses,Academic Programs,"B.Tech(AI, BME, BT, ChE, CE, CSE, CompEng, EE, EP, ES, IC Design, IndChem, MSME, MnC, ME), B.Des, M.Tech(AI, BME, BT, ChE, CE, CSE, Design, EE, ES, MSME, ME), M.Sc(Physics, Chemistry, Maths, Medical Physics), M.A(Development Studies), Ph.D(AI, BME, BT, ChE, Chemistry, CE, Climate Change, CSE, Design, EE, ES, Entrepreneurship, Sustainability, HST, Liberal Arts, MSME, Maths, ME, Physics)","IITH offers the following BTech programs Artificial Intelligence... MTech, MDes... Regular PhD Admissions Portal... M.Sc Medical Physics",https://iith.ac.in/academics/under-graduate/,medium,high,high,,unknown
Fees for Each Course,Academic Programs,N/A,Fee Structure for January June 2026 - Newly Enrolled... [Specific numeric values for tuition fees were not present in the text snippets provided],https://iith.ac.in/academics/fee-structure/,low,low,high,2026,unknown
Total Graduate Students (2025),Student Demographics,1273,1273 Degrees were conferred during the 14th Convocation at IIT Hyderabad [held July 2025].,https://pr.iith.ac.in/press-release,medium,high,high,2025,high
Placed Students Count,Placements,474,IIT Hyderabad Placements Phase-1 going strong with 508 Job Offers to 474 Students,https://pr.iith.ac.in/./pressrelease/PL22.pdf,medium,medium,high,,unknown
Maximum Compensation (Last Placement Season),Placements,63.78 LPA,Highest placements tally so far with highest Job Offer of Rs. 63.78 L,https://pr.iith.ac.in/./pressrelease/PL22.pdf,medium,high,high,,unknown
